Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A6-2686-01A-01D-1406-01	4	45204501	45238010	21	0.091
TCGA-A6-2686-01A-01D-1406-01	4	45240133	46697945	663	-0.4151
TCGA-A6-2686-01A-01D-1406-01	4	46707695	47825159	628	1.0421
TCGA-A6-2686-01A-01D-1406-01	4	47828907	48068826	132	1.5844
TCGA-A6-2686-01A-01D-1406-01	4	52698757	116902938	36095	0.275
TCGA-A6-2686-01A-01D-1406-01	4	116905387	118192116	713	-0.401
TCGA-A6-2686-01A-01D-1406-01	4	118228806	119676138	795	0.2457
TCGA-A6-2686-01A-01D-1406-01	4	119676336	119980234	194	0.6684
TCGA-A6-2686-01A-01D-1406-01	4	119980501	130502750	5752	0.2348
TCGA-A6-2686-01A-01D-1406-01	4	130502836	130503096	5	-0.8789
TCGA-A6-2686-01A-01D-1406-01	4	130503425	135780220	2273	0.2184
TCGA-A6-2686-01A-01D-1406-01	4	135780372	135780487	4	-1.1404
TCGA-A6-2686-01A-01D-1406-01	4	135785349	188763651	28751	-0.0321
TCGA-A6-2686-01A-01D-1406-01	5	914233	19902777	11982	0.1776
TCGA-A6-2686-01A-01D-1406-01	5	19902953	19903781	2	-1.4766
TCGA-A6-2686-01A-01D-1406-01	5	19911004	31833816	6493	0.0877
TCGA-A6-2686-01A-01D-1406-01	5	31840606	31840717	2	-1.551
TCGA-A6-2686-01A-01D-1406-01	5	31841279	56644757	11492	-0.051
TCGA-A6-2686-01A-01D-1406-01	5	56654449	165551962	61653	-0.3951
TCGA-A6-2686-01A-01D-1406-01	5	165551994	165603524	41	-0.9337
TCGA-A6-2686-01A-01D-1406-01	5	165604348	172928450	4894	-0.4162
TCGA-A6-2686-01A-01D-1406-01	5	172928639	173455147	451	-1.8615
TCGA-A6-2686-01A-01D-1406-01	5	173468457	173494289	29	-1.1163
TCGA-A6-2686-01A-01D-1406-01	5	173499296	180360469	3409	-0.437
TCGA-A6-2686-01A-01D-1406-01	6	1014281	2050316	803	-0.4529
TCGA-A6-2686-01A-01D-1406-01	6	2051106	2080912	21	-1.6732
TCGA-A6-2686-01A-01D-1406-01	6	2086556	2399099	183	-0.423
TCGA-A6-2686-01A-01D-1406-01	6	2400244	2522452	99	-0.0956
TCGA-A6-2686-01A-01D-1406-01	6	2524003	50474627	28536	-0.4443
TCGA-A6-2686-01A-01D-1406-01	6	50476553	50892728	233	-0.0358
TCGA-A6-2686-01A-01D-1406-01	6	50893251	50893291	2	1.1526
TCGA-A6-2686-01A-01D-1406-01	6	50899273	67231231	6440	-0.0245
TCGA-A6-2686-01A-01D-1406-01	6	67232643	67232923	4	-1.1197
TCGA-A6-2686-01A-01D-1406-01	6	67236777	70271513	1783	-0.0544
TCGA-A6-2686-01A-01D-1406-01	6	70290348	71844663	839	-0.4243
TCGA-A6-2686-01A-01D-1406-01	6	71847449	72095455	146	-0.0956
TCGA-A6-2686-01A-01D-1406-01	6	72096860	121721210	27823	-0.4228
TCGA-A6-2686-01A-01D-1406-01	6	121724006	123515392	973	-0.0463
TCGA-A6-2686-01A-01D-1406-01	6	123518994	128204085	2692	0.2405
TCGA-A6-2686-01A-01D-1406-01	6	128205645	128205690	2	1.5356
TCGA-A6-2686-01A-01D-1406-01	6	128207851	133481869	3499	0.2313
TCGA-A6-2686-01A-01D-1406-01	6	133483162	133483519	2	-1.7498
TCGA-A6-2686-01A-01D-1406-01	6	133484021	134697015	813	0.2398
TCGA-A6-2686-01A-01D-1406-01	6	134697377	134697440	2	-1.1895
TCGA-A6-2686-01A-01D-1406-01	6	134697996	136321165	1144	0.2218
TCGA-A6-2686-01A-01D-1406-01	6	136328189	136343766	18	0.76
TCGA-A6-2686-01A-01D-1406-01	6	136345502	136458038	93	0.2493
TCGA-A6-2686-01A-01D-1406-01	6	136465433	136536052	60	0.6404
TCGA-A6-2686-01A-01D-1406-01	6	136536754	140678837	2538	0.2427
TCGA-A6-2686-01A-01D-1406-01	6	140679347	161947411	13472	-0.0239
TCGA-A6-2686-01A-01D-1406-01	6	161947653	170903919	4238	0.2307
TCGA-A6-2686-01A-01D-1406-01	7	705284	12566005	5214	0.201
TCGA-A6-2686-01A-01D-1406-01	7	12566168	13143424	369	-0.0762
TCGA-A6-2686-01A-01D-1406-01	7	13143771	85835706	38306	0.224
TCGA-A6-2686-01A-01D-1406-01	7	85837100	92533155	2925	0.4761
TCGA-A6-2686-01A-01D-1406-01	7	92533310	92533685	2	-0.8728
TCGA-A6-2686-01A-01D-1406-01	7	92534024	96450396	2320	0.4888
TCGA-A6-2686-01A-01D-1406-01	7	96451396	96451871	6	-0.1931
TCGA-A6-2686-01A-01D-1406-01	7	96451924	158385118	32183	0.4629
TCGA-A6-2686-01A-01D-1406-01	8	617667	3293828	1254	-0.0513
TCGA-A6-2686-01A-01D-1406-01	8	3294340	3304295	10	-0.6654
TCGA-A6-2686-01A-01D-1406-01	8	3304920	4517285	777	-0.0269
TCGA-A6-2686-01A-01D-1406-01	8	4517442	4640233	79	-0.363
TCGA-A6-2686-01A-01D-1406-01	8	4640320	13407986	3652	-0.0479
TCGA-A6-2686-01A-01D-1406-01	8	13409359	13410643	3	-1.3073
TCGA-A6-2686-01A-01D-1406-01	8	13412918	13728528	101	-0.0616
TCGA-A6-2686-01A-01D-1406-01	8	13730430	13731330	6	-1.6461
TCGA-A6-2686-01A-01D-1406-01	8	13731536	14305161	482	-0.0822
TCGA-A6-2686-01A-01D-1406-01	8	14307253	14317014	10	-0.6503
TCGA-A6-2686-01A-01D-1406-01	8	14317257	20180692	4453	-0.0634
TCGA-A6-2686-01A-01D-1406-01	8	20184339	20184824	2	-1.6799
TCGA-A6-2686-01A-01D-1406-01	8	20185105	52545558	16411	-0.0656
TCGA-A6-2686-01A-01D-1406-01	8	52558395	53269493	474	0.3692
TCGA-A6-2686-01A-01D-1406-01	8	53269741	53270358	2	-2.0268
TCGA-A6-2686-01A-01D-1406-01	8	53270478	70954676	10412	0.3446
TCGA-A6-2686-01A-01D-1406-01	8	70954705	70954720	2	-1.1766
TCGA-A6-2686-01A-01D-1406-01	8	70954834	110346287	22075	0.3422
TCGA-A6-2686-01A-01D-1406-01	8	110347214	110724543	230	0.5941
TCGA-A6-2686-01A-01D-1406-01	8	110724604	116417991	2831	0.22
TCGA-A6-2686-01A-01D-1406-01	8	116420327	116420722	2	-1.2217
TCGA-A6-2686-01A-01D-1406-01	8	116422282	131271216	9952	0.1467
TCGA-A6-2686-01A-01D-1406-01	8	131276243	131346066	56	-0.9207
TCGA-A6-2686-01A-01D-1406-01	8	131346604	145232496	8252	0.1189
TCGA-A6-2686-01A-01D-1406-01	9	789932	10523295	5753	0.1969
TCGA-A6-2686-01A-01D-1406-01	9	10523383	10524041	3	-1.2242
TCGA-A6-2686-01A-01D-1406-01	9	10524292	37812961	16870	0.1957
TCGA-A6-2686-01A-01D-1406-01	9	37813351	37820988	3	-1.1655
TCGA-A6-2686-01A-01D-1406-01	9	37821461	73325039	2438	0.2156
TCGA-A6-2686-01A-01D-1406-01	9	73343615	73356204	2	-1.1605
TCGA-A6-2686-01A-01D-1406-01	9	73361334	74718315	977	0.2431
TCGA-A6-2686-01A-01D-1406-01	9	74720604	74737437	16	-0.1593
TCGA-A6-2686-01A-01D-1406-01	9	74737927	121721913	31296	0.2621
TCGA-A6-2686-01A-01D-1406-01	9	121723991	121724015	2	-1.1436
TCGA-A6-2686-01A-01D-1406-01	9	121724759	140938752	10656	0.1855
TCGA-A6-2686-01A-01D-1406-01	10	415240	6393610	3909	0.612
TCGA-A6-2686-01A-01D-1406-01	10	6398978	6398984	5	-0.3535
TCGA-A6-2686-01A-01D-1406-01	10	6404210	39064000	22204	0.4067
TCGA-A6-2686-01A-01D-1406-01	10	42947970	61440207	8885	-0.0871
TCGA-A6-2686-01A-01D-1406-01	10	61448672	61765891	244	-0.9858
TCGA-A6-2686-01A-01D-1406-01	10	61769305	135225087	45596	-0.11
TCGA-A6-2686-01A-01D-1406-01	11	456120	15635854	9252	-0.07
TCGA-A6-2686-01A-01D-1406-01	11	15636499	16016569	313	0.2629
TCGA-A6-2686-01A-01D-1406-01	11	16022866	25727724	6563	-0.0567
TCGA-A6-2686-01A-01D-1406-01	11	25728161	25728613	5	-1.5141
TCGA-A6-2686-01A-01D-1406-01	11	25731911	34055551	5201	-0.063
TCGA-A6-2686-01A-01D-1406-01	11	34057822	34058107	2	-2.4269
TCGA-A6-2686-01A-01D-1406-01	11	34058726	35612431	1316	-0.0546
TCGA-A6-2686-01A-01D-1406-01	11	35614722	35614854	2	-1.5417
TCGA-A6-2686-01A-01D-1406-01	11	35616194	134142530	54584	-0.0842
TCGA-A6-2686-01A-01D-1406-01	12	889902	41709545	21021	0.2096
TCGA-A6-2686-01A-01D-1406-01	12	41710090	41710492	2	-1.5106
TCGA-A6-2686-01A-01D-1406-01	12	41711669	71491505	17136	0.1681
TCGA-A6-2686-01A-01D-1406-01	12	71499041	71510255	12	-0.4245
TCGA-A6-2686-01A-01D-1406-01	12	71521527	89430045	10339	0.2058
TCGA-A6-2686-01A-01D-1406-01	12	89433309	89433593	2	-1.8602
TCGA-A6-2686-01A-01D-1406-01	12	89435177	131078425	24561	0.178
TCGA-A6-2686-01A-01D-1406-01	12	131078836	131725985	414	-0.4312
TCGA-A6-2686-01A-01D-1406-01	12	131834052	133161346	449	0.173
TCGA-A6-2686-01A-01D-1406-01	13	19450806	52712632	20229	-0.0547
TCGA-A6-2686-01A-01D-1406-01	13	52715663	53050176	65	-0.4833
TCGA-A6-2686-01A-01D-1406-01	13	53054002	86632597	18482	-0.1524
TCGA-A6-2686-01A-01D-1406-01	13	86634242	86634794	2	-1.6751
TCGA-A6-2686-01A-01D-1406-01	13	86637199	87335652	332	-0.3689
TCGA-A6-2686-01A-01D-1406-01	13	87341856	90589188	1734	-0.7214
TCGA-A6-2686-01A-01D-1406-01	13	90589825	97864433	4579	-0.3848
TCGA-A6-2686-01A-01D-1406-01	13	97865021	97865063	2	-1.8963
TCGA-A6-2686-01A-01D-1406-01	13	97867556	108924215	7654	-0.3675
TCGA-A6-2686-01A-01D-1406-01	13	108926989	109147387	144	-0.6923
TCGA-A6-2686-01A-01D-1406-01	13	109149325	114987458	3417	-0.3198
TCGA-A6-2686-01A-01D-1406-01	14	20501368	26870128	3030	-0.034
TCGA-A6-2686-01A-01D-1406-01	14	26870408	27162275	167	0.2694
TCGA-A6-2686-01A-01D-1406-01	14	27162904	27162945	2	-1.7625
TCGA-A6-2686-01A-01D-1406-01	14	27166938	41804127	8286	0.2332
TCGA-A6-2686-01A-01D-1406-01	14	41804379	41810830	2	-1.3094
TCGA-A6-2686-01A-01D-1406-01	14	41810988	45071812	1286	0.3446
TCGA-A6-2686-01A-01D-1406-01	14	45259995	45260133	2	-1.485
TCGA-A6-2686-01A-01D-1406-01	14	45261492	46590910	425	0.2468
TCGA-A6-2686-01A-01D-1406-01	14	46592058	46592177	2	-1.5683
TCGA-A6-2686-01A-01D-1406-01	14	46592900	47131759	255	0.237
TCGA-A6-2686-01A-01D-1406-01	14	47132410	47132829	3	-1.4921
TCGA-A6-2686-01A-01D-1406-01	14	47136641	80933690	20893	0.2114
TCGA-A6-2686-01A-01D-1406-01	14	80940240	103325915	14138	-0.0621
TCGA-A6-2686-01A-01D-1406-01	14	103327219	103475658	91	-0.4589
TCGA-A6-2686-01A-01D-1406-01	14	103476127	103579649	28	-0.1113
TCGA-A6-2686-01A-01D-1406-01	14	103582802	103947010	208	0.1603
TCGA-A6-2686-01A-01D-1406-01	14	103947289	104963113	341	-0.0731
TCGA-A6-2686-01A-01D-1406-01	14	104964623	104965037	2	-2.2042
TCGA-A6-2686-01A-01D-1406-01	14	104968468	105988038	275	-0.1256
TCGA-A6-2686-01A-01D-1406-01	15	23687685	88428702	36283	-0.0426
TCGA-A6-2686-01A-01D-1406-01	15	88431333	101884307	8225	-0.3951
TCGA-A6-2686-01A-01D-1406-01	16	653459	6279094	2485	-0.0912
TCGA-A6-2686-01A-01D-1406-01	16	6425752	6508632	95	-0.9199
TCGA-A6-2686-01A-01D-1406-01	16	6508646	6535177	24	-0.0305
TCGA-A6-2686-01A-01D-1406-01	16	6538986	6595898	81	-0.4607
TCGA-A6-2686-01A-01D-1406-01	16	6596181	12245461	3564	-0.0746
TCGA-A6-2686-01A-01D-1406-01	16	12251153	12251442	3	-1.8579
TCGA-A6-2686-01A-01D-1406-01	16	12252371	57408667	14808	-0.0702
TCGA-A6-2686-01A-01D-1406-01	16	57413838	57722576	206	0.233
TCGA-A6-2686-01A-01D-1406-01	16	57733278	76059715	10229	-0.0846
TCGA-A6-2686-01A-01D-1406-01	16	76062978	76063417	2	-1.7191
TCGA-A6-2686-01A-01D-1406-01	16	76070637	89379936	9285	-0.0587
TCGA-A6-2686-01A-01D-1406-01	17	987221	4475584	1519	0.3632
TCGA-A6-2686-01A-01D-1406-01	17	4475660	4478836	2	-1.5793
TCGA-A6-2686-01A-01D-1406-01	17	4480903	36664341	13169	0.3085
TCGA-A6-2686-01A-01D-1406-01	17	36669432	36669464	2	-1.913
TCGA-A6-2686-01A-01D-1406-01	17	36671149	68908381	16668	0.1674
TCGA-A6-2686-01A-01D-1406-01	17	68908954	68909094	2	-1.5311
TCGA-A6-2686-01A-01D-1406-01	17	68909197	80917016	5621	0.1704
TCGA-A6-2686-01A-01D-1406-01	18	329586	26255755	12785	0.0082
TCGA-A6-2686-01A-01D-1406-01	18	26257522	44503484	10969	-0.4025
TCGA-A6-2686-01A-01D-1406-01	18	44509064	44524134	8	-1.9417
TCGA-A6-2686-01A-01D-1406-01	18	44524626	54464820	6478	-0.3929
TCGA-A6-2686-01A-01D-1406-01	18	54466980	54467343	3	-1.9387
TCGA-A6-2686-01A-01D-1406-01	18	54469295	77109240	12381	-0.4184
TCGA-A6-2686-01A-01D-1406-01	19	284018	28240494	8976	-0.1043
TCGA-A6-2686-01A-01D-1406-01	19	28240509	58878226	14959	0.5502
TCGA-A6-2686-01A-01D-1406-01	20	455764	17670313	11207	0.2108
TCGA-A6-2686-01A-01D-1406-01	20	17675705	17675706	2	-1.3255
TCGA-A6-2686-01A-01D-1406-01	20	17676125	23071575	4009	0.1941
TCGA-A6-2686-01A-01D-1406-01	20	23074031	23075155	6	-0.6253
TCGA-A6-2686-01A-01D-1406-01	20	23078546	62219837	22056	0.1941
TCGA-A6-2686-01A-01D-1406-01	21	15347621	26209514	6653	-0.0696
TCGA-A6-2686-01A-01D-1406-01	21	26218514	32323438	4093	-0.433
TCGA-A6-2686-01A-01D-1406-01	21	32324125	32324501	2	-2.3747
TCGA-A6-2686-01A-01D-1406-01	21	32324969	41642849	6387	-0.4396
TCGA-A6-2686-01A-01D-1406-01	21	41644882	47678774	3436	-0.0529
TCGA-A6-2686-01A-01D-1406-01	22	17423930	49331012	16923	-0.1036
TCGA-A6-2686-01A-01D-1406-01	X	3157107	47667557	20144	-0.2085
TCGA-A6-2686-01A-01D-1406-01	X	47667640	47667675	2	-1.7938
TCGA-A6-2686-01A-01D-1406-01	X	47667708	51650779	1595	-0.251
TCGA-A6-2686-01A-01D-1406-01	X	51651144	51651523	2	-2.2326
TCGA-A6-2686-01A-01D-1406-01	X	51654633	72310004	6059	-0.2583
TCGA-A6-2686-01A-01D-1406-01	X	72312805	72313442	3	-1.5898
TCGA-A6-2686-01A-01D-1406-01	X	72321245	80630361	2937	-0.2836
TCGA-A6-2686-01A-01D-1406-01	X	80633758	81269856	287	0.3508
TCGA-A6-2686-01A-01D-1406-01	X	81273898	81327523	30	-1.717
TCGA-A6-2686-01A-01D-1406-01	X	81331929	118922743	16570	0.1583
TCGA-A6-2686-01A-01D-1406-01	X	118922886	118923595	2	-1.576
TCGA-A6-2686-01A-01D-1406-01	X	118924008	141209094	9805	0.1588
TCGA-A6-2686-01A-01D-1406-01	X	141215425	143454817	1307	0.4461
TCGA-A6-2686-01A-01D-1406-01	X	143456339	143456572	2	-1.2717
TCGA-A6-2686-01A-01D-1406-01	X	143458622	147204825	2317	0.4623
TCGA-A6-2686-01A-01D-1406-01	X	147211620	147230140	18	0.9559
TCGA-A6-2686-01A-01D-1406-01	X	147230448	154905589	2688	0.4743
